--- ROUND 1 ---,,,,,,,,,,,
,CAT1,CAT2,CAT3,CAT4,CAT5,CAT6,,,,,
CATEGORY,Oceans,US Government,Geometry,Novels,Cities,Superheroes,,,,,
$200 CLUE,The largest ocean on Earth.,The head of the executive branch of the US government.,The number of sides on a pentagon.,This novel by J.K. Rowling features a school of witchcraft.,The largest city in the United States by population.,This superhero wears a red cape and fights crime in Metropolis.,,,,,
$200 ANSWER,What is the Pacific Ocean?,Who is the President?,What is 5?,What is Harry Potter?,What is New York City?,Who is Superman?,,,,,
$400 CLUE,The deepest ocean trench.,The legislative branch of the US government makes these.,The sum of interior angles in a triangle.,This novel by Suzanne Collins is set in Panem.,The capital of Texas.,This superhero is a billionaire playboy who fights crime.,,,,,
$400 ANSWER,What is the Mariana Trench?,What are laws?,What is 180 degrees?,What is The Hunger Games?,What is Austin?,Who is Batman?,,,,,
$600 CLUE,This ocean is named after a continent.,The Supreme Court is part of this branch.,The formula for the area of a triangle.,This novel by George Orwell depicts a totalitarian society.,The capital of California.,This superhero wields a hammer and is from Asgard.,,,,,
$600 ANSWER,What is the Atlantic Ocean?,What is the judicial branch?,What is (1/2)bh?,What is 1984?,What is Sacramento?,Who is Thor?,,,,,
$800 CLUE,The Gulf Stream is a current in this ocean.,This document outlines the powers of the federal government.,The Pythagorean theorem applies to this type of triangle.,This novel by Harper Lee addresses racial injustice.,The capital of Florida.,This superhero is known for her lasso of truth.,,,,,
$800 ANSWER,What is the Atlantic Ocean?,What is the Constitution?,What is a right triangle?,What is To Kill a Mockingbird?,What is Tallahassee?,Who is Wonder Woman?,,,,,
$1000 CLUE,This ocean surrounds Antarctica.,The number of amendments to the US Constitution.,The volume of a sphere formula.,This novel by F. Scott Fitzgerald critiques the American Dream.,The capital of New York.,This superhero team includes Iron Man and Captain America.,,,,,
$1000 ANSWER,What is the Southern Ocean?,What is 27?,What is (4/3)πr³?,What is The Great Gatsby?,What is Albany?,Who are the Avengers?,,,,,
,,,,,,,,,,,
--- ROUND 2 ---,,,,,,,,,,,
,CAT1,CAT2,CAT3,CAT4,CAT5,CAT6,,,,,
CATEGORY,Weather,Periodic Table,Medieval History,Architecture,Movies,Animals,,,,,
$400 CLUE,The instrument used to measure atmospheric pressure.,This element has the symbol He.,This king ruled England from 1066 to 1087.,This architectural style features pointed arches and flying buttresses.,This 1977 film features a farm boy who becomes a Jedi.,The largest mammal on Earth.,,,,,
$400 ANSWER,What is a barometer?,What is helium?,Who is William the Conqueror?,What is Gothic?,What is Star Wars?,What is the blue whale?,,,,,
$800 CLUE,The scale used to measure hurricane intensity.,This element is used in batteries and has the symbol Li.,This crusade was called to recapture Jerusalem in 1096.,This famous bridge in San Francisco is a suspension bridge.,This film directed by Alfred Hitchcock features a shower scene.,The fastest land animal.,,,,,
$800 ANSWER,What is the Saffir-Simpson scale?,What is lithium?,What is the First Crusade?,What is the Golden Gate Bridge?,What is Psycho?,What is the cheetah?,,,,,
$1200 CLUE,The process by which water vapor becomes liquid.,This element is essential for human bones and has the symbol Ca.,This queen ruled England during the Elizabethan Era.,This building in Paris is an example of Art Nouveau architecture.,This 1994 film follows a lion cub's journey to kingship.,The only mammal capable of true flight.,,,,,
$1200 ANSWER,What is condensation?,What is calcium?,Who is Elizabeth I?,What is the Eiffel Tower?,What is The Lion King?,What is the bat?,,,,,
$1600 CLUE,The boundary between two air masses of different temperatures.,This radioactive element has the symbol U.,This battle in 1415 saw English forces defeat the French.,This ancient wonder was one of the Seven Wonders of the Ancient World.,This 2019 film features superheroes battling Thanos.,The animal with the longest neck.,,,,,
$1600 ANSWER,What is a front?,What is uranium?,What is the Battle of Agincourt?,What is the Lighthouse of Alexandria?,What is Avengers: Endgame?,What is the giraffe?,,,,,
$2000 CLUE,The study of weather patterns over long periods.,This element is the most abundant in Earth's crust.,This empire was founded by Charlemagne in 800 AD.,This modern building in Dubai is the tallest in the world.,This 2008 film features a dark knight fighting crime.,The largest reptile in the world.,,,,,
$2000 ANSWER,What is climatology?,What is oxygen?,What is the Holy Roman Empire?,What is the Burj Khalifa?,What is The Dark Knight?,What is the saltwater crocodile?,,,,,
,,,,,,,,,,,
--- FINAL JEOPARDY ---,,,,,,,,,,,
FINAL CATEGORY,Inventions,,,,,,,,,,,
FINAL CLUE,"This invention by Nikola Tesla, developed in the late 19th century, revolutionized the transmission of electricity.",,,,,,,,,,,
FINAL ANSWER,"What is the alternating current (AC) system?",,,,,,,,,,,</content>
<parameter name="filePath">c:\Users\smith\OneDrive\Documents\trivia_grid\daily\2026-04-18.csv
