--- ROUND 1 ---,,,,,,,,,,,
,CAT1,CAT2,CAT3,CAT4,CAT5,CAT6,,,,,
CATEGORY,Biology,American History,Algebra,Literature,World Capitals,Television,,,,,
$200 CLUE,The basic unit of life.,This war was fought between the North and South from 1861-1865.,The value of x in the equation 2x + 3 = 7.,This author wrote 'Pride and Prejudice.',The capital of Canada.,This show features doctors in a Chicago hospital.,,,,,
$200 ANSWER,What is the cell?,What is the Civil War?,What is 2?,Who is Jane Austen?,What is Ottawa?,What is Chicago Med?,,,,,
$400 CLUE,The process by which plants convert sunlight into energy.,This document declared independence from Britain in 1776.,The solution to x² = 16.,This novel by Mark Twain features a raft journey down the Mississippi.,The capital of Australia.,This sitcom follows the lives of friends in New York City.,,,,,
$400 ANSWER,What is photosynthesis?,What is the Declaration of Independence?,What is 4 or -4?,What is The Adventures of Huckleberry Finn?,What is Canberra?,What is Friends?,,,,,
$600 CLUE,This organ pumps blood throughout the body.,The year the United States Constitution was ratified.,The formula for the area of a rectangle.,This poet wrote 'The Raven.',The capital of Mexico.,This reality show features aspiring singers competing for a recording contract.,,,,,
$600 ANSWER,What is the heart?,What is 1788?,What is length times width?,Who is Edgar Allan Poe?,What is Mexico City?,What is American Idol?,,,,,
$800 CLUE,This molecule carries genetic information.,This amendment abolished slavery in the United States.,The quadratic formula.,This play by William Shakespeare features the line 'To be or not to be.',The capital of Brazil.,This drama series follows the White House staff.,,,,,
$800 ANSWER,What is DNA?,What is the 13th Amendment?,What is x = (-b ± √(b²-4ac))/2a?,What is Hamlet?,What is Brasília?,What is The West Wing?,,,,,
$1000 CLUE,This process produces offspring genetically identical to the parent.,The first President of the United States.,The logarithm of 1000 to the base 10.,This author wrote 'One Hundred Years of Solitude.',The capital of India.,This animated show features a yellow sponge living in a pineapple under the sea.,,,,,
$1000 ANSWER,What is cloning?,Who is George Washington?,What is 3?,Who is Gabriel García Márquez?,What is New Delhi?,What is SpongeBob SquarePants?,,,,,
,,,,,,,,,,,
--- ROUND 2 ---,,,,,,,,,,,
,CAT1,CAT2,CAT3,CAT4,CAT5,CAT6,,,,,
CATEGORY,Earth Science,Chemistry,Ancient History,Visual Arts,Classical Music,Sports,,,,,
$400 CLUE,The layer of Earth where life exists.,This element has the atomic number 6.,This pharaoh built the Great Pyramid at Giza.,This painting technique uses small dots of color.,This composer wrote 'The Four Seasons.',This sport is played on a court with a net and rackets.,,,,,
$400 ANSWER,What is the biosphere?,What is carbon?,Who is Khufu?,What is pointillism?,Who is Antonio Vivaldi?,What is tennis?,,,,,
$800 CLUE,The movement of tectonic plates causes this.,The chemical symbol for sodium.,This civilization invented the wheel.,This artist painted 'Water Lilies.',This symphony was composed by Johannes Brahms.,This team sport is played with an oval ball on a field.,,,,,
$800 ANSWER,What is earthquakes?,What is Na?,What is Sumerian?,Who is Claude Monet?,What is Symphony No. 1?,What is American football?,,,,,
$1200 CLUE,The water cycle includes evaporation, condensation, and this.,The study of carbon compounds.,This emperor conquered most of the known world.,This sculpture by Auguste Rodin depicts a thinker.,This opera was composed by Giacomo Puccini.,This sport involves throwing a heavy metal ball.,,,,,
$1200 ANSWER,What is precipitation?,What is organic chemistry?,Who is Alexander the Great?,What is The Thinker?,What is La Bohème?,What is shot put?,,,,,
$1600 CLUE,The Earth's magnetic field protects us from this.,This gas is produced by plants during photosynthesis.,This ancient library was in Alexandria, Egypt.,This painting by Vincent van Gogh shows a night sky.,This composer wrote 'The Planets' suite.,This winter sport involves sliding on two blades.,,,,,
$1600 ANSWER,What is solar wind?,What is oxygen?,What is the Library of Alexandria?,What is Starry Night?,Who is Gustav Holst?,What is ice skating?,,,,,
$2000 CLUE,The theory that explains the origin of the universe.,The most abundant element in the universe.,This civilization developed the first alphabet.,This artist created 'The Scream.',This ballet was composed by Pyotr Ilyich Tchaikovsky.,This sport originated in Japan and involves throwing opponents.,,,,,
$2000 ANSWER,What is the Big Bang?,What is hydrogen?,What is Phoenician?,Who is Edvard Munch?,What is Swan Lake?,What is judo?,,,,,
,,,,,,,,,,,
--- FINAL JEOPARDY ---,,,,,,,,,,,
FINAL CATEGORY,Exploration,,,,,,,,,,,
FINAL CLUE,"This explorer, sponsored by Spain, completed the first circumnavigation of the Earth in 1522.",,,,,,,,,,,
FINAL ANSWER,"Who is Ferdinand Magellan?",,,,,,,,,,,</content>
<parameter name="filePath">c:\Users\smith\OneDrive\Documents\trivia_grid\daily\2026-04-17.csv
