--- ROUND 1 ---,,,,,,,,,,,
,CAT1,CAT2,CAT3,CAT4,CAT5,CAT6,,,,,
CATEGORY,State Capitals,Math Puzzles,Famous Scientists,Classic TV,The Human Body,World Religions,,,,,
$200 CLUE,The capital of Texas.,If you have 3 dozen eggs and give away a quarter of them how many do you have left?,She developed the theory of radioactivity and won two Nobel Prizes.,This sitcom featured the Bunker family and aired from 1971 to 1979.,The largest organ of the human body.,This is the world's most widely practiced religion.,,,,,
$200 ANSWER,What is Austin?,What is 27?,Who is Marie Curie?,What is All in the Family?,What is the skin?,What is Christianity?,,,,,
$400 CLUE,The capital of Alaska — not Anchorage!,A triangle has angles of 45 and 60 degrees. What is the third angle?,He proposed that Earth revolves around the Sun in 1543.,The show that featured six friends living in New York City from 1994 to 2004.,This organ filters blood and produces bile.,This religion follows the teachings of the Prophet Muhammad.,,,,,
$400 ANSWER,What is Juneau?,What is 75 degrees?,Who is Nicolaus Copernicus?,What is Friends?,What is the liver?,What is Islam?,,,,,
$600 CLUE,The capital of Australia is often mistaken for Sydney or Melbourne.,What is the next prime number after 17?,He formulated the three laws of motion and the law of universal gravitation.,Rod Serling created this anthology series about the bizarre and supernatural.,The part of the brain responsible for balance and coordination.,This religion originated in India and follows the Four Noble Truths.,,,,,
$600 ANSWER,What is Canberra?,What is 19?,Who is Isaac Newton?,What is The Twilight Zone?,What is the cerebellum?,What is Buddhism?,,,,,
$800 CLUE,The capital of Montana.,A square has a perimeter of 52 cm. What is its area in square centimeters?,She was a pioneering computer programmer who coined the term 'debugging.','This HBO show about a fictional mob family in New Jersey aired from 1999 to 2007.,The fluid-filled sacs that cushion joints are called this.,Founded in the 6th century BCE by Siddhartha Gautama.,,,,,
$800 ANSWER,What is Helena?,What is 169 square cm?,Who is Grace Hopper?,What is The Sopranos?,What are bursae?,What is Buddhism?,,,,,
$1000 CLUE,The capital of Hawaii.,If a train travels 240 miles in 3 hours and 20 minutes what is its average speed in mph?,This physicist developed quantum mechanics and the uncertainty principle.,This 1960s show featured a family who were actually monsters but acted like a typical American family.,The medical term for the kneecap.,This faith teaches that God revealed the Torah to Moses on Mount Sinai.,,,,,
$1000 ANSWER,What is Honolulu?,What is 72 mph?,Who is Werner Heisenberg?,What is The Munsters?,What is the patella?,What is Judaism?,,,,,
,,,,,,,,,,,
--- ROUND 2 ---,,,,,,,,,,,
,CAT1,CAT2,CAT3,CAT4,CAT5,CAT6,,,,,
CATEGORY,Literary Characters,Physics,American History,Musical Terms,Olympic Sports,Culinary World,,,,,
$400 CLUE,"This orphan, raised by his aunt and uncle, discovers he is a wizard on his 11th birthday.",The SI unit of force named after a famous physicist.,The year the Declaration of Independence was signed.,"This musical term means to play smoothly, without breaks between notes.",This swimming stroke is also called the front crawl.,The French term meaning to cook something in its own juices in a covered pot.,,,,,
$400 ANSWER,Who is Harry Potter?,What is the Newton?,What is 1776?,What is legato?,What is freestyle (front crawl)?,What is braising?,,,,,
$800 CLUE,"This character lives on Baker Street, solves crimes, and plays the violin.",The phenomenon where light bends around massive objects as predicted by general relativity.,The Supreme Court case that ruled racial segregation in public schools unconstitutional.,"A direction meaning gradually getting louder in music, abbreviated as cresc.",The Olympic sport that combines cross-country skiing and rifle shooting.,This knife cut produces long thin strips of leafy vegetables or herbs.,,,,,
$800 ANSWER,Who is Sherlock Holmes?,What is gravitational lensing?,What is Brown v. Board of Education?,What is crescendo?,What is biathlon?,What is chiffonade?,,,,,
$1200 CLUE,"This Jay Gatsby's doomed pursuit of Daisy in this F. Scott Fitzgerald novel set in the 1920s.",The amount of energy required to raise 1 gram of water by 1 degree Celsius.,This 1920 amendment granted women the right to vote in the United States.,"This term means a solo passage in a concerto, usually near the end of a movement.",This track and field event combines a long run with a jumping and throwing sequence.,The cooking technique of cooking food in a vacuum-sealed bag in a temperature-controlled water bath.,,,,,
$1200 ANSWER,What is The Great Gatsby?,What is one calorie?,What is the 19th Amendment?,What is a cadenza?,What is the decathlon (or heptathlon)?,What is sous vide?,,,,,
$1600 CLUE,"This Bram Stoker character is a Transylvanian count who sleeps in a coffin.",The equation E=hf describes the energy of a photon where h is this constant named after Max Planck.,The 1944 military operation that was the largest seaborne invasion in history.,"In music, this Italian term means to be performed in a grand and stately manner.",The only team sport in the Summer Olympics that is played on horseback.,This term describes the process of reducing wine or stock by simmering to intensify flavor.,,,,,
$1600 ANSWER,Who is Count Dracula?,What is Planck's constant?,What is D-Day (Operation Overlord)?,What is maestoso?,What is polo?,What is reduction?,,,,,
$2000 CLUE,"In Dostoevsky's novel, this character murders a pawnbroker and is tormented by guilt.",The physicist who first proposed that light is made of quantized packets called photons.,President Franklin D. Roosevelt proposed this New Deal program to put Americans back to work during the Depression.,"The term for a composition for six performers, or a group of six musicians.",The Olympic sport where athletes perform acrobatic maneuvers on a 10-meter platform.,"Named after the French chemist Louis Pasteur, this process kills pathogens in food without full sterilization.",,,,,
$2000 ANSWER,Who is Raskolnikov?,Who is Albert Einstein?,What is the Works Progress Administration (WPA)?,What is a sextet?,What is platform diving?,What is pasteurization?,,,,,
,,,,,,,,,,,
--- FINAL JEOPARDY ---,,,,,,,,,,,
FINAL CATEGORY,World Literature,,,,,,,,,,,
FINAL CLUE,"This Colombian author, awarded the Nobel Prize in Literature in 1982, wrote 'One Hundred Years of Solitude.'",,,,,,,,,,,
FINAL ANSWER,"What is Gabriel García Márquez?",,,,,,,,,,,
