--- ROUND 1 ---,,,,,,,,,,,
,CAT1,CAT2,CAT3,CAT4,CAT5,CAT6,,,,,
CATEGORY,Nature,US History,Math,Books,Cities,Entertainment,,,,,
$200 CLUE,The process by which plants make their own food using sunlight.,This document was signed in 1776 declaring independence from Britain.,The number of degrees in a right angle.,This author wrote 'The Great Gatsby.',The capital of Japan.,This actor played Iron Man in the Marvel Cinematic Universe.,,,,,
$200 ANSWER,What is photosynthesis?,What is the Declaration of Independence?,What is 90?,Who is F. Scott Fitzgerald?,What is Tokyo?,Who is Robert Downey Jr.?,,,,,
$400 CLUE,This animal is known as the 'King of the Jungle.',The first President to live in the White House.,The square root of 81.,This book series features a boy wizard named Harry Potter.,The capital of Brazil.,This TV show features contestants competing for a million dollars.,,,,,
$400 ANSWER,What is the lion?,Who is John Adams?,What is 9?,What is Harry Potter?,What is Brasília?,What is Who Wants to Be a Millionaire?,,,,,
$600 CLUE,This bird cannot fly but is an excellent swimmer.,This amendment to the Constitution abolished slavery.,The value of pi rounded to two decimal places.,This author wrote 'To Kill a Mockingbird.',The capital of Egypt.,This video game franchise features Mario as its main character.,,,,,
$600 ANSWER,What is the penguin?,What is the 13th Amendment?,What is 3.14?,Who is Harper Lee?,What is Cairo?,What is Super Mario Bros.?,,,,,
$800 CLUE,This tree produces acorns and can live for over 200 years.,The year the Civil War began.,The formula for the area of a circle.,This book by George Orwell depicts a dystopian future.,The capital of Russia.,This singer is known as the 'Queen of Pop.',,,,,,
$800 ANSWER,What is the oak?,What is 1861?,What is πr²?,What is 1984?,What is Moscow?,Who is Madonna?,,,,,
$1000 CLUE,This natural phenomenon occurs when the moon passes between the Earth and the Sun.,This President issued the Emancipation Proclamation.,The sum of the interior angles of a triangle.,This author wrote 'Pride and Prejudice.',The capital of India.,This movie won the Academy Award for Best Picture in 2020.,,,,,
$1000 ANSWER,What is a solar eclipse?,Who is Abraham Lincoln?,What is 180 degrees?,Who is Jane Austen?,What is New Delhi?,What is Parasite?,,,,,
,,,,,,,,,,,
--- ROUND 2 ---,,,,,,,,,,,
,CAT1,CAT2,CAT3,CAT4,CAT5,CAT6,,,,,
CATEGORY,Geography,Science,World History,Arts,Music,Sports,,,,,
$400 CLUE,The longest mountain range in the world.,This element has the chemical symbol O.,This ancient civilization built the pyramids at Giza.,This painting by Leonardo da Vinci shows a woman with a mysterious smile.,This composer wrote 'The Nutcracker Suite.',This sport is played with a bat and ball on a diamond-shaped field.,,,,,
$400 ANSWER,What is the Andes?,What is oxygen?,What is ancient Egypt?,What is the Mona Lisa?,Who is Pyotr Ilyich Tchaikovsky?,What is baseball?,,,,,
$800 CLUE,The largest desert in the world.,The process by which cells divide to produce identical copies.,This war was fought between 1939 and 1945.,This artist painted 'Starry Night.',This musical instrument has 88 keys.,This Olympic sport involves swimming, biking, and running.,,,,,
$800 ANSWER,What is the Sahara?,What is mitosis?,What is World War II?,Who is Vincent van Gogh?,What is the piano?,What is triathlon?,,,,,
$1200 CLUE,The deepest ocean trench on Earth.,This scientist developed the theory of relativity.,This empire was ruled by Genghis Khan.,This sculpture by Michelangelo depicts a biblical hero.,This jazz musician is known as 'Satchmo.',This sport originated in Scotland and is played on grass.,,,,,
$1200 ANSWER,What is the Mariana Trench?,Who is Albert Einstein?,What is the Mongol Empire?,What is David?,Who is Louis Armstrong?,What is golf?,,,,,
$1600 CLUE,The only continent that is also a country.,This particle is responsible for mediating the strong nuclear force.,This treaty ended World War I.,This composer wrote 'The Magic Flute.',This rock band released the album 'Abbey Road.',This winter sport involves sliding down an icy track on a small sled.,,,,,
$1600 ANSWER,What is Australia?,What is the gluon?,What is the Treaty of Versailles?,Who is Wolfgang Amadeus Mozart?,What is The Beatles?,What is luge?,,,,,
$2000 CLUE,The capital of Antarctica is not a traditional city but this research station.,The speed of light in a vacuum is approximately this many meters per second.,This revolution began in 1789 in France.,This painting by Pablo Picasso is known for its cubist style.,This opera singer is known as 'The Three Tenors' along with Pavarotti and Domingo.,This sport is the most popular in the world by number of participants.,,,,,
$2000 ANSWER,What is McMurdo Station?,What is 300,000,000?,What is the French Revolution?,What is Les Demoiselles d'Avignon?,Who is Luciano Pavarotti?,What is soccer?,,,,,
,,,,,,,,,,,
--- FINAL JEOPARDY ---,,,,,,,,,,,
FINAL CATEGORY,Technology,,,,,,,,,,,
FINAL CLUE,"This company, founded in 1976, revolutionized personal computing with its Apple II computer.",,,,,,,,,,,
FINAL ANSWER,"What is Apple Inc.?",,,,,,,,,,,</content>
<parameter name="filePath">c:\Users\smith\OneDrive\Documents\trivia_grid\daily\2026-04-14.csv
