--- ROUND 1 ---,,,,,,,,,,,
,CAT1,CAT2,CAT3,CAT4,CAT5,CAT6,,,,,
CATEGORY,Animals,World Leaders,Science,Mythology,Countries,Inventions,,,,,
$200 CLUE,This animal is known for its long neck and spots.,She was the first female Prime Minister of the United Kingdom.,The study of living organisms.,In Greek mythology, this god is known as the messenger of the gods.,The largest country in the world by land area.,This invention by Alexander Graham Bell revolutionized communication.,,,,,
$200 ANSWER,What is a giraffe?,Who is Margaret Thatcher?,What is biology?,Who is Hermes?,What is Russia?,What is the telephone?,,,,,
$400 CLUE,This bird is the national symbol of the United States.,He led India to independence from British rule.,The process of changing from a liquid to a gas.,This goddess in Norse mythology is associated with love and beauty.,The smallest country in the world by area.,This device was invented by the Wright brothers in 1903.,,,,,
$400 ANSWER,What is the bald eagle?,Who is Mahatma Gandhi?,What is evaporation?,Who is Freyja?,What is Vatican City?,What is the airplane?,,,,,
$600 CLUE,This marine animal has eight arms and can change color.,She was the first woman to fly solo across the Atlantic Ocean.,The force that attracts objects toward the center of the Earth.,In Roman mythology, this god is the ruler of the underworld.,The country with the most natural lakes in the world.,This invention by Johannes Gutenberg revolutionized printing.,,,,,
$600 ANSWER,What is an octopus?,Who is Amelia Earhart?,What is gravity?,Who is Pluto?,What is Canada?,What is the printing press?,,,,,
$800 CLUE,This mammal is the only one capable of true flight.,He was the first President of South Africa after apartheid ended.,The chemical symbol for this element is Au.,This hero in Greek mythology performed twelve labors.,The country that is home to the Great Wall.,This invention by Thomas Edison provided electric light.,,,,,
$800 ANSWER,What is a bat?,Who is Nelson Mandela?,What is gold?,Who is Hercules?,What is China?,What is the light bulb?,,,,,
$1000 CLUE,This reptile can live over 100 years and is native to the Galápagos Islands.,She became the first female Chancellor of Germany in 2005.,The distance light travels in one year.,In Egyptian mythology, this god has the head of a jackal.,The country with the highest population in the world.,This invention by Tim Berners-Lee created the modern internet.,,,,,
$1000 ANSWER,What is a Galápagos tortoise?,Who is Angela Merkel?,What is a light-year?,Who is Anubis?,What is China?,What is the World Wide Web?,,,,,
,,,,,,,,,,,
--- ROUND 2 ---,,,,,,,,,,,
,CAT1,CAT2,CAT3,CAT4,CAT5,CAT6,,,,,
CATEGORY,Oceanography,Chemistry,Ancient Civilizations,Poetry,Sports,Space Exploration,,,,,
$400 CLUE,The largest ocean on Earth.,This gas makes up about 21% of Earth's atmosphere.,This ancient civilization developed the first writing system.,This poet wrote 'The Road Not Taken.',This sport is known as 'America's pastime.',The first human to walk on the moon.,,,,,
$400 ANSWER,What is the Pacific Ocean?,What is oxygen?,What is Sumerian?,Who is Robert Frost?,What is baseball?,Who is Neil Armstrong?,,,,,
$800 CLUE,The deepest part of the ocean is called this trench.,The pH scale measures the acidity of this.,This civilization built Machu Picchu.,This poet wrote 'The Love Song of J. Alfred Prufrock.',This sport originated in England and is played with an oval ball.,The spacecraft that carried the first humans to the moon.,,,,,
$800 ANSWER,What is the Mariana Trench?,What is a solution?,What is the Inca?,Who is T.S. Eliot?,What is rugby?,What is Apollo 11?,,,,,
$1200 CLUE,This current in the Atlantic Ocean affects Europe's climate.,The process of splitting atoms to release energy.,This civilization created the first democracy.,This poet wrote 'Kubla Khan.',This sport involves racing cars at high speeds.,The first space station launched by humans.,,,,,
$1200 ANSWER,What is the Gulf Stream?,What is nuclear fission?,What is ancient Athens?,Who is Samuel Taylor Coleridge?,What is Formula 1?,What is Salyut 1?,,,,,
$1600 CLUE,The study of ocean currents and waves.,This element is the most abundant in the Earth's crust.,This civilization developed the concept of zero in mathematics.,This poet wrote 'Ode to a Nightingale.',This sport combines swimming, cycling, and running.,The first woman in space.,,,,,
$1600 ANSWER,What is physical oceanography?,What is oxygen?,What is the Mayan?,Who is John Keats?,What is triathlon?,Who is Valentina Tereshkova?,,,,,
$2000 CLUE,This phenomenon causes the ocean to glow at night.,The branch of chemistry that studies carbon compounds.,This civilization built the Hanging Gardens.,This poet wrote 'The Second Coming.',This sport is played on ice with a puck.,The first rover to land on Mars.,,,,,
$2000 ANSWER,What is bioluminescence?,What is organic chemistry?,What is Babylonian?,Who is W.B. Yeats?,What is hockey?,What is Sojourner?,,,,,
,,,,,,,,,,,
--- FINAL JEOPARDY ---,,,,,,,,,,,
FINAL CATEGORY,Literature,,,,,,,,,,,
FINAL CLUE,"This novel by Herman Melville, published in 1851, follows Captain Ahab's obsessive quest for a white whale.",,,,,,,,,,,
FINAL ANSWER,"What is Moby-Dick?",,,,,,,,,,,</content>
<parameter name="filePath">c:\Users\smith\OneDrive\Documents\trivia_grid\daily\2026-04-15.csv
