--- ROUND 1 ---,,,,,,,,,,,
,CAT1,CAT2,CAT3,CAT4,CAT5,CAT6,,,,,
CATEGORY,Planets,US Presidents,Mathematics,Authors,Capitals,Pop Culture,,,,,
$200 CLUE,The planet known for its rings.,He was the 16th President of the United States.,The number of sides on a triangle.,This author wrote 'The Catcher in the Rye.',The capital of France.,This social media platform was founded in 2004.,,,,,
$200 ANSWER,What is Saturn?,Who is Abraham Lincoln?,What is 3?,Who is J.D. Salinger?,What is Paris?,What is Facebook?,,,,,
$400 CLUE,The largest planet in our solar system.,He signed the Declaration of Independence.,The square of 12.,This author wrote '1984.',The capital of Germany.,This streaming service produces original content like 'The Crown.',,,,,
$400 ANSWER,What is Jupiter?,Who is John Hancock?,What is 144?,Who is George Orwell?,What is Berlin?,What is Netflix?,,,,,
$600 CLUE,The planet closest to the Sun.,He was President during World War II.,The value of pi to three decimal places.,This author wrote 'The Hobbit.',The capital of Italy.,This video game console was released in 2006.,,,,,
$600 ANSWER,What is Mercury?,Who is Franklin D. Roosevelt?,What is 3.142?,Who is J.R.R. Tolkien?,What is Rome?,What is the Wii?,,,,,
$800 CLUE,The planet with the most moons.,He was the first President born in poverty.,The formula for the circumference of a circle.,This author wrote 'Gone with the Wind.',The capital of Spain.,This movie franchise features lightsabers and the Force.,,,,,
$800 ANSWER,What is Saturn?,Who is Harry S. Truman?,What is 2πr?,Who is Margaret Mitchell?,What is Madrid?,What is Star Wars?,,,,,
$1000 CLUE,The hottest planet in our solar system.,He was the only President to serve two non-consecutive terms.,The sum of angles in a quadrilateral.,This author wrote 'War and Peace.',The capital of the United Kingdom.,This singer released the album 'Thriller' in 1982.,,,,,
$1000 ANSWER,What is Venus?,Who is Grover Cleveland?,What is 360 degrees?,Who is Leo Tolstoy?,What is London?,Who is Michael Jackson?,,,,,
,,,,,,,,,,,
--- ROUND 2 ---,,,,,,,,,,,
,CAT1,CAT2,CAT3,CAT4,CAT5,CAT6,,,,,
CATEGORY,Geography,Physics,World History,Art,Music,Olympics,,,,,
$400 CLUE,The highest mountain in the world.,The SI unit of energy.,This empire was founded by Cyrus the Great.,This artist painted 'The Persistence of Memory.',This composer wrote 'Symphony No. 9.',The number of rings in the Olympic symbol.,,,,,
$400 ANSWER,What is Mount Everest?,What is the joule?,What is the Persian Empire?,Who is Salvador Dalí?,Who is Ludwig van Beethoven?,What is 5?,,,,,
$800 CLUE,The longest river in the world.,The speed of light in a vacuum.,This battle was fought in 1066.,This artist created 'The Starry Night.',This musician is known as the 'King of Rock and Roll.',The first modern Olympic Games were held in this year.,,,,,
$800 ANSWER,What is the Nile?,What is 299,792,458 m/s?,What is the Battle of Hastings?,Who is Vincent van Gogh?,Who is Elvis Presley?,What is 1896?,,,,,
$1200 CLUE,The largest lake in the world by surface area.,This principle states that energy cannot be created or destroyed.,This treaty ended World War I.,This sculpture by Michelangelo is in St. Peter's Basilica.,This band released 'Sgt. Pepper's Lonely Hearts Club Band.',The Olympic motto is in this language.,,,,,
$1200 ANSWER,What is the Caspian Sea?,What is the law of conservation of energy?,What is the Treaty of Versailles?,What is Pietà?,What is The Beatles?,What is Latin?,,,,,
$1600 CLUE,The driest desert in the world.,The particle that carries the electromagnetic force.,This revolution began in 1911 in China.,This painting by Leonardo da Vinci shows the Last Supper.,This composer wrote 'The Rite of Spring.',The first Winter Olympics were held in this year.,,,,,
$1600 ANSWER,What is the Atacama?,What is the photon?,What is the Xinhai Revolution?,What is The Last Supper?,Who is Igor Stravinsky?,What is 1924?,,,,,
$2000 CLUE,The deepest lake in the world.,This equation relates mass and energy.,This wall divided Berlin from 1961 to 1989.,This artist painted 'Guernica.',This opera singer was known as 'La Divina.',The Olympic Games were canceled in these years due to world wars.,,,,,
$2000 ANSWER,What is Lake Baikal?,What is E=mc²?,What is the Berlin Wall?,Who is Pablo Picasso?,Who is Maria Callas?,What are 1916, 1940, and 1944?,,,,,
,,,,,,,,,,,
--- FINAL JEOPARDY ---,,,,,,,,,,,
FINAL CATEGORY,Science,,,,,,,,,,,
FINAL CLUE,"This element, discovered in 1789, makes up about 78% of Earth's atmosphere.",,,,,,,,,,,
FINAL ANSWER,"What is nitrogen?",,,,,,,,,,,</content>
<parameter name="filePath">c:\Users\smith\OneDrive\Documents\trivia_grid\daily\2026-04-16.csv
